City,month_period,PM2_5_ugm3
Aizawl,2022-08,7.79537037037037
Aizawl,2022-09,8.486527777777779
Aizawl,2022-10,11.518010752688172
Aizawl,2022-11,11.229305555555555
Aizawl,2022-12,16.676612903225806
Aizawl,2023-01,23.316801075268817
Aizawl,2023-02,28.740476190476187
Aizawl,2023-03,38.48991935483871
Aizawl,2023-04,26.28666666666667
Aizawl,2023-05,18.412634408602152
Aizawl,2023-06,13.771527777777777
Aizawl,2023-07,7.143145161290323
Aizawl,2023-08,10.22002688172043
Aizawl,2023-09,9.445277777777779
Aizawl,2023-10,13.856048387096774
Aizawl,2023-11,8.917638888888888
Aizawl,2023-12,9.424596774193548
Aizawl,2024-01,15.283198924731185
Aizawl,2024-02,26.695402298850574
Aizawl,2024-03,34.961021505376344
Aizawl,2024-04,31.085555555555555
Aizawl,2024-05,20.031586021505376
Aizawl,2024-06,13.280277777777776
Aizawl,2024-07,5.14489247311828
Aizawl,2024-08,5.728091397849462
Aizawl,2024-09,8.403194444444445
Aizawl,2024-10,15.624731182795697
Aizawl,2024-11,11.818055555555556
Aizawl,2024-12,18.84260752688172
Aizawl,2025-01,29.236021505376343
Aizawl,2025-02,40.92366071428572
Aizawl,2025-03,63.418010752688176
Aizawl,2025-04,35.11708333333333
Aizawl,2025-05,22.14475806451613
Aizawl,2025-06,9.044444444444444
Aizawl,2025-07,8.186693548387096
Aizawl,2025-08,6.755913978494624
Aizawl,2025-09,8.72875
Aizawl,2025-10,9.92271505376344
Aizawl,2025-11,12.253525641025641
Bengaluru,2022-08,10.493672839506173
Bengaluru,2022-09,14.892916666666666
Bengaluru,2022-10,23.16182795698925
Bengaluru,2022-11,27.84486111111111
Bengaluru,2022-12,23.99072580645161
Bengaluru,2023-01,30.048387096774192
Bengaluru,2023-02,28.462648809523813
Bengaluru,2023-03,31.02728494623656
Bengaluru,2023-04,28.265416666666663
Bengaluru,2023-05,28.76935483870968
Bengaluru,2023-06,13.757083333333334
Bengaluru,2023-07,5.402016129032258
Bengaluru,2023-08,11.900806451612905
Bengaluru,2023-09,8.03138888888889
Bengaluru,2023-10,30.98145161290323
Bengaluru,2023-11,17.760416666666668
Bengaluru,2023-12,22.136559139784943
Bengaluru,2024-01,27.446370967741935
Bengaluru,2024-02,22.97471264367816
Bengaluru,2024-03,25.375940860215056
Bengaluru,2024-04,20.254583333333333
Bengaluru,2024-05,23.89758064516129
Bengaluru,2024-06,8.835555555555556
Bengaluru,2024-07,4.784139784946237
